request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"69aaa5b5-293d-406b-bbc5-297815528e34",GET,/,"debug=true&locale=en",,302,,,,65168840048800,65168911003500,65168916750000
"96ccebfe-99b6-4677-88f0-cbc1b255f377",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=492,,65168939957200,65168949587600,65173726229400
"057b1d7b-d00a-4b95-aff4-5b24a566b7b1",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,65173856512000,65173864902200,65173866674900
"51f37487-8d89-4d7a-bb05-119ed357495f",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,65173888232800,65173891213700,65173892665900
"7a52ea65-1267-4598-a8c0-4d68b7269cbf",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,65173904144100,65173907217100,65173908536800
"c4dfd54d-c2d4-4f73-85fc-be85a98c0d43",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,65173916531000,65173918935400,65173920021600
"a1ca1f95-df0b-4a24-a466-9b527fdd5a62",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,65173927088700,65173929536000,65173930686500
"74f6c127-d734-4522-8e39-74364debdc30",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,65173939263300,65173942246900,65173943437100
"a70eeaff-b294-4649-ac17-ff74e7a1033e",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,65173951210400,65173953708900,65173954681100
"66d2cf26-83a9-48a2-9384-1ace2c39a91e",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,65173960763900,65173962966200,65173963806200
"06dbd0b6-c377-4614-b65a-7586eeedcf8b",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,65173972075000,65173975254500,65173976314000
"3d0577ed-463d-4003-8178-647d3d0da990",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,65173986140000,65173988894900,65173990023900
"429e26cf-d9f5-4c98-9f7f-a25aa210be40",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,65174001889000,65174006152600,65174007338400
"59dec5a2-04e8-434b-b08e-88612870a254",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,65174014340000,65174016810000,65174017802600
"75bc647a-947c-4a25-9b0e-d3c36427f3ef",GET,/images/banner.png,,,200,image/png,,,65174025232600,65174028028100,65174028935600
